frame	firing_rate	labels
0	7.090671316477768	predator
1	6.95513629758791	predator
2	7.372623307178146	predator
3	6.868251787271142	non_predator
4	6.813689973844812	non_predator
5	6.970055216506829	predator
6	7.258954954954955	predator
7	6.910291659401337	predator
8	6.7381449578610875	non_predator
9	6.706289566986341	non_predator
10	7.086977971519907	predator
11	6.849799941877361	predator
12	7.584766753850626	predator
13	6.968166928218541	predator
14	6.668111362975878	predator
15	7.268541470502761	predator
16	7.219486428363847	predator
17	7.362615983725661	predator
18	7.031776344086022	predator
19	7.408511479221157	predator
20	6.806884975297879	non_animal
21	6.653133391455973	non_predator
22	7.085718337692531	predator
23	7.039114675966289	predator
24	6.723569659982563	non_predator
25	7.275240453356582	predator
26	6.88502877070619	non_predator
27	6.803695669863412	predator
28	6.670764080209242	non_predator
29	7.358287474571346	predator
30	7.1277600697471675	non_animal
31	7.237283115373438	non_animal
32	7.5251347863993026	non_predator
33	6.867212089508864	predator
34	6.946463934902646	non_predator
35	7.28381842487649	non_predator
36	7.312669572798605	non_predator
37	6.766154489973846	non_animal
38	7.151341586748039	predator
39	7.057408892763732	predator
40	6.723805870386516	non_predator
41	6.942683638477187	non_predator
42	7.079343911653589	non_predator
43	7.040589131066551	non_animal
44	7.163657076431271	predator
45	7.086871955826794	predator
46	6.9583307178145875	non_predator
47	7.034044986922406	predator
48	7.06331368788143	non_predator
49	7.29201511188608	predator
50	7.271643359488521	predator
51	7.464113920371985	non_predator
52	7.018815925603022	predator
53	7.480214821272885	predator
54	6.927261145015983	non_predator
55	7.112311537343795	predator
56	7.076879046788725	non_predator
57	7.1812087183958155	non_predator
58	7.137650682941005	predator
59	6.737609764603313	non_animal
60	6.986443940714909	non_animal
61	6.905690206335367	non_animal
62	6.844813949433305	non_animal
63	6.987924440569603	non_animal
64	7.025412147631502	non_animal
65	6.986938215634989	non_animal
66	7.07719104911363	non_animal
67	6.984463586166812	non_animal
68	7.077929904097647	non_animal
69	6.941043185120605	non_animal
70	6.772583783783784	non_animal
71	6.841433536762569	non_animal
72	6.929423307178145	non_animal
73	7.077258471374601	non_animal
74	6.833577680906713	non_animal
75	7.326618541121767	non_animal
76	7.228330834059867	non_animal
77	7.090292821854111	non_animal
78	7.095597326358617	non_animal
79	7.091367393199651	non_animal
80	6.940023481546063	non_animal
81	6.95797500726533	non_animal
82	7.275653821563499	non_animal
83	6.675907236268526	non_animal
84	7.346649927346701	non_animal
85	7.449905027608253	non_animal
86	7.226335600116246	non_animal
87	7.508098343504795	non_animal
88	7.206524614937518	non_animal
89	6.8079404824179015	non_animal
90	6.743305318221448	non_animal
91	7.368333391455972	non_animal
92	7.113755768671898	non_animal
93	7.056138099389712	non_animal
94	6.783288578901481	non_animal
95	7.116586573670445	non_animal
96	7.168410113339146	non_animal
97	6.7620449869224055	non_animal
98	7.362362104039523	non_animal
99	7.143916768381285	non_animal
100	6.805560244115083	non_animal
101	7.099356698634118	non_animal
102	7.241477709968033	predator
103	6.894081952920662	non_animal
104	7.147579889566987	non_animal
105	7.229838767800058	non_animal
106	7.050781981981982	non_animal
107	7.022035454809649	non_animal
108	6.859199535018889	non_animal
109	6.99128299912816	non_animal
110	7.082597384481256	non_animal
111	6.820814414414414	non_animal
112	6.924407555943039	non_predator
113	6.893634176111596	non_animal
114	6.8365489102005235	non_animal
115	6.989119907003778	non_animal
116	6.996388491717525	non_animal
117	7.069476082534147	non_animal
