	sex	label	mean_frequency	sem	N
0	Male	Non-Animal Control	7.491949428242324	0.01725397969555959	2480
1	Male	Non-Predator	7.495464262411829	0.017048386869744928	1360
2	Male	Predator	7.468995654663894	0.01654885939190382	880
3	Female	Non-Animal Control	7.131859110723625	0.034656476115375	682
4	Female	Non-Predator	6.97583214181924	0.05357578147570071	242
5	Female	Predator	7.026162387153023	0.024085553998157053	374
