	spike_count
0	94.5061264698345
1	93.15417495919178
2	92.067519049035
3	94.49491880023984
4	92.97257101536013
5	95.43567455629471
6	93.20825532631575
7	93.0607532744811
8	94.19291645537879
9	93.74530127446901
10	94.21449410013373
11	94.29626756643125
12	93.67099280634534
13	93.03726833935721
14	92.57872329468715
15	94.36080763013565
16	95.04826342564412
17	94.88634019238157
18	95.37105295291977
19	96.74696300563623
20	93.9198777231386
21	92.27316061783209
22	92.99862927744462
23	91.9498692481774
24	93.10795321911066
25	93.68341506781123
26	94.98677653542858
27	92.10132390887831
28	94.00162649291984
29	93.94056688995543
30	92.8192751296211
31	93.31421284464423
32	92.47969960063536
33	93.35860988624232
34	94.22449438769368
35	95.01663167781035
36	94.67312712218823
37	90.4138368296931
38	92.76593149397301
39	93.7988895503076
40	91.4606301918204
41	93.81860452955378
42	94.60545503665186
43	95.9265501837493
44	94.20415916304665
45	93.76061902443443
46	93.11173426981587
47	93.74953541000082
48	94.84015552009463
49	94.5193029489204
50	92.75863991043576
51	94.16839875281745
52	92.13658230359012
53	94.00452509840125
54	92.41131490500447
55	95.89422149109987
56	93.85343586654541
57	94.25185666116744
58	91.59878118032047
59	92.49347436621704
60	92.03021973128293
61	91.43874165187673
62	89.51193363197557
63	93.80910766842676
64	93.76303140313598
65	93.48626209312509
66	93.35823229749359
67	91.05135258608817
68	94.34409979502153
69	94.11439360242672
70	94.19987469163306
71	95.41006434897776
72	91.83909657027239
73	91.56379059355442
74	90.06620776763485
75	92.40995621111277
76	95.3709841294598
77	92.53848790632468
78	93.70272742783207
79	93.32642549792821
80	93.55227002226351
81	93.50641275973575
82	92.60027714189836
83	91.13318119870078
84	94.31594436001559
85	93.14056439955456
86	95.38889484993456
87	92.87957773962772
88	93.48875516291345
89	93.42346550438961
90	91.15348738729402
91	93.77559998118636
92	90.50340643576574
93	92.05112048140367
94	94.08681801140243
95	92.82899771036355
96	92.18142161545508
97	92.32725463032625
98	95.42879809369947
99	95.2217874526371
100	95.01227105585812
101	93.78294007583072
102	91.21122820112288
103	92.76499055330986
104	94.42568925680615
105	94.71840513713397
106	95.85366699808246
107	95.71673616917188
108	91.16454023905247
109	92.4162256312485
110	94.05489114369935
111	92.09624613595432
112	92.56190923071557
113	96.08219264725972
114	93.6556307886523
115	95.70429880536362
116	94.8961516932533
117	96.91650441262779
